id,scode,sname,hospital_id,hospital_name
29,28,Andhra Pradesh,2007,AREA HOSPITAL NARSIPATNAM
30,28,Andhra Pradesh,2020,AREA HOSPITAL KAVALI
31,28,Andhra Pradesh,2093,AREA HOSPITAL SATTENAPALLI
32,28,Andhra Pradesh,2004,AREA HOSPITAL RAMACHANDRAPURAM
33,28,Andhra Pradesh,2023,DISTRICT HOSPITAL ATMAKUR SPS NELLORE
34,28,Andhra Pradesh,2046,SUB DISTRICT HOSPITAL NARASARAOPETA
35,28,Andhra Pradesh,2042,AREA HOSPITAL TADEPALLIGUDEM
36,28,Andhra Pradesh,2028,GOVERNMENT SUB DISTRICT  HOSPITAL CHIRALA
37,28,Andhra Pradesh,2036,AREA HOSPITAL PULIVENDULA
38,28,Andhra Pradesh,2053,DISTRICT HOSPITAL PRODDATUR
39,28,Andhra Pradesh,2034,SUB DIVISIONAL HOSPITAL ADONI
40,28,Andhra Pradesh,2043,DISTRICT HOSPITAL TEKKALI
41,28,Andhra Pradesh,2019,AREA HOSPITAL GUDUR SPS NELLORE
42,28,Andhra Pradesh,2031,SUB DISTRICT HOSPITAL KADARI
43,28,Andhra Pradesh,2024,DISTRICT HOSPITAL HINDUPUR
44,28,Andhra Pradesh,2045,AREA HOSPITAL RAJAM
45,28,Andhra Pradesh,950000008,AREA HOSPITAL TUNI
46,28,Andhra Pradesh,950000019,AREA HOSPITAL GUDUR
47,28,Andhra Pradesh,950000060,AREA HOSPITAL MADAKASIRA
48,28,Andhra Pradesh,950000004,AREA HOSPITAL RAMACHANDRAPURAM
49,28,Andhra Pradesh,2172,AREA HOSPITAL RAMPACHODVARAM
50,28,Andhra Pradesh,2073,CHC CHENNEKOTTAPALLI
51,28,Andhra Pradesh,2080,CHC ROLLA
52,28,Andhra Pradesh,2130,COMMUNITY HEALTH CENTER B KOTHAKOTA
53,28,Andhra Pradesh,2230,COMMUNITY HEALTH CENTER CHINTOOR
54,28,Andhra Pradesh,2187,COMMUNITY HEALTH CENTER BADANGI
55,28,Andhra Pradesh,2190,COMMUNITY HEALTH CENTER BHOGAPURAM
56,28,Andhra Pradesh,2229,COMMUNITY HEALTH CENTER CHINAMERANGI
57,28,Andhra Pradesh,2075,COMMUNITY HEALTH CENTER NALLAMADA
58,28,Andhra Pradesh,2243,COMMUNITY HEALTH CENTER HARIPURAM
59,28,Andhra Pradesh,2157,COMMUNITY HEALTH CENTER PONNUR
60,28,Andhra Pradesh,2127,COMMUNITY HEALTH CENTER PRATHIPADU
61,28,Andhra Pradesh,2237,COMMUNITY HEALTH CENTER PRATHIPADU
62,28,Andhra Pradesh,2267,COMMUNITY HEALTH CENTER Y RAMAVARAM
63,28,Andhra Pradesh,2082,COMMUNITY HEALTH CENTRE KOTHACHERUV
64,28,Andhra Pradesh,950000020,AREA HOSPITAL KAVALI
65,28,Andhra Pradesh,950000034,AREA HOSPITAL SRIKALAHASTI
66,28,Andhra Pradesh,2100,CHC INDUKURUPETA
67,28,Andhra Pradesh,2119,CHC Ulavapadu
68,28,Andhra Pradesh,2131,COMMUNITY HEALTH CENTER BUCHIREDDYPALEM
69,28,Andhra Pradesh,2133,COMMUNITY HEALTH CENTER KOVUR
70,28,Andhra Pradesh,2141,COMMUNITY HEALTH CENTER RAPUR
71,28,Andhra Pradesh,2145,COMMUNITY HEALTH CENTER VENKATACHALAM
72,28,Andhra Pradesh,2151,Community Health CentreAllur
73,28,Andhra Pradesh,2165,V Kota
74,28,Andhra Pradesh,1146,Visakha Institute Of Medical Sciences
75,28,Andhra Pradesh,1141,Super Speciality Hospital Kadapa
76,28,Andhra Pradesh,2154,COMMUNITY HEALTH CENTRE CHINNAGOTTIGALLU
77,28,Andhra Pradesh,950000028,AREA HOSPITAL KANDUKUR
78,28,Andhra Pradesh,950000002,Government General Hospital Nellore Andhra Pardesh
79,28,Andhra Pradesh,950000055,GOVERNMENT HOSPITAL FOR CHEST AND COMMUNICABLE DISEASES GUNTUR
80,28,Andhra Pradesh,2039,State Cancer Institute
81,28,Andhra Pradesh,950000036,SRI VENKATESWARA RAMNARAYAN RUIA GOVERNMENT GENERAL HOSPITAL
82,28,Andhra Pradesh,2163,MCH ONGOLE
83,28,Andhra Pradesh,2162,MCHADONI
84,28,Andhra Pradesh,950000011,KING GEORGE HOSPITAL VISAKHAPATNAM
85,28,Andhra Pradesh,1143,Institute Of Mental Health Kadapa
86,28,Andhra Pradesh,950000057,GOVERNMENT VICTORIA HOSPITAL FOR WOMEN AND CHILDREN VISAKAPATNAM
87,28,Andhra Pradesh,950000058,GOVERNMENT REGIONAL EYE HOSPITAL VISAKHAPATNAM
88,28,Andhra Pradesh,2061,Government Regional Eye Hospital
89,28,Andhra Pradesh,950000059,GOVERNMENT HOSPITAL FOR MENTAL CARE VISAKHAPATNAM
90,28,Andhra Pradesh,2146,COMMUNITY HEALTH CENTER VENKATAGIRI
91,28,Andhra Pradesh,950000056,GOVERNMENT HOSPITAL FOR CHEST AND COMMUNICABLE DISEASES VISAKHAPATNAM
92,28,Andhra Pradesh,2088,Community Health Center Chandragiri
93,28,Andhra Pradesh,2135,Community Health Center Midthur
94,28,Andhra Pradesh,2147,COMMUNITY HEALTH CENTER VINJAMURU
95,28,Andhra Pradesh,2227,COMMUNITY HEALTH CENTER ALLAVARAM
96,28,Andhra Pradesh,2085,AREA HOSPITAL PUNGANUR
97,28,Andhra Pradesh,2268,COMMUNITY HEALTH CENTER KURUPAM
98,28,Andhra Pradesh,2208,COMMUNITY HEALTH CENTER NELLIMARLA
99,28,Andhra Pradesh,950000015,GOVERNMENT GENERAL HOSPITAL VIZIANAGARAM
100,28,Andhra Pradesh,950000050,GOVERNMENT GENERAL HOSPITAL VIJAYAWADA
101,28,Andhra Pradesh,950000048,GOVERNMENT GENERAL HOSPITAL SRIKAKULAM
102,28,Andhra Pradesh,950000010,GOVERNMENT GENERAL HOSPITAL RAJAMAHENDRAVARAM
103,28,Andhra Pradesh,950000009,GOVERNMENT GENERAL HOSPITAL PADERU
104,28,Andhra Pradesh,950000026,GOVERNMENT GENERAL HOSPITAL ONGOLE
105,28,Andhra Pradesh,950000022,GOVERNMENT GENERAL HOSPITAL NANDYAL
106,28,Andhra Pradesh,2025,GOVERNMENT GENERAL HOSPITAL MARKAPUR
107,28,Andhra Pradesh,950000040,GOVERNMENT GENERAL HOSPITAL MADANAPALLE
108,28,Andhra Pradesh,950000013,GOVERNMENT GENERAL HOSPITAL MACHILIPATNAM
109,28,Andhra Pradesh,950000025,GOVERNMENT GENERAL HOSPITAL KURNOOL
110,28,Andhra Pradesh,950000014,GOVERNMENT GENERAL HOSPITAL KAKINADA
111,28,Andhra Pradesh,950000049,GOVERNMENT GENERAL HOSPITAL KADAPA
112,28,Andhra Pradesh,2158,COMMUNITY HEALTH CENTER VAKADU
113,28,Andhra Pradesh,950000051,GOVERNMENT GENERAL HOSPITAL GUNTUR
114,28,Andhra Pradesh,950000037,GOVERNMENT GENERAL HOSPITAL ELURU
115,28,Andhra Pradesh,950000003,GOVERNMENT GENERAL HOSPITAL ANANTAPUR
116,28,Andhra Pradesh,950000033,Government General Hospital Adoni
117,28,Andhra Pradesh,2063,GOVERNMENT ENT HOSPITAL VISAKHAPATNAM
118,28,Andhra Pradesh,950000053,GOVERMENT MATERNITY HOSPITAL TIRUPATI
119,28,Andhra Pradesh,950000035,Dr YSR GOVERNMENT GENERAL HOSPITAL PULIVENDULA
120,28,Andhra Pradesh,1142,Dr YSR Cancer Care Centre
121,28,Andhra Pradesh,950000046,DISTRICT HOSPITAL TENALI
122,28,Andhra Pradesh,950000042,DISTRICT HOSPITAL TEKKALI
123,28,Andhra Pradesh,950000038,DISTRICT HOSPITAL TANUKU
124,28,Andhra Pradesh,950000052,DISTRICT HOSPITAL PRODDUTUR
125,28,Andhra Pradesh,950000018,DISTRICT HOSPITAL PARVATHIPURAM
126,28,Andhra Pradesh,950000024,DISTRICT HOSPITAL HINDUPUR
127,28,Andhra Pradesh,2083,DISTRICT HOSPITAL DHH AIMSR CHITTOOR
128,28,Andhra Pradesh,950000023,DISTRICT HOSPITAL ATMAKUR
129,28,Andhra Pradesh,950000005,DISTRICT HOSPITAL ANAKAPALLI
130,28,Andhra Pradesh,2160,COMMUNITY HEALTH CENTRE YALLUR
131,28,Andhra Pradesh,2159,COMMUNITY HEALTH CENTRE VELDURTHY
132,28,Andhra Pradesh,2074,COMMUNITY HEALTH CENTRE SINGANAMALA
133,28,Andhra Pradesh,2156,COMMUNITY HEALTH CENTRE NANDIKOTKUR
134,28,Andhra Pradesh,2155,COMMUNITY HEALTH CENTRE KOTA
135,28,Andhra Pradesh,2167,COMMUNITY HEALTH CENTRE KOILAKUNTLA
136,28,Andhra Pradesh,2078,COMMUNITY HEALTH CENTRE KANEKAL
137,28,Andhra Pradesh,2072,COMMUNITY HEALTH CENTRE KALYANDURG
138,28,Andhra Pradesh,2081,COMMUNITY HEALTH CENTRE GORANTLA
139,28,Andhra Pradesh,2153,Community Health Centre Chimakurthy
140,28,Andhra Pradesh,2274,COMMUNITY HEALTH CENTRE ALUR
141,28,Andhra Pradesh,2222,COMMUNITY HEALTH CENTER YELESWRAM
142,28,Andhra Pradesh,2220,COMMUNITY HEALTH CENTER YELAMANCHILI
143,28,Andhra Pradesh,2219,COMMUNITY HEALTH CENTER VUYYURU
144,28,Andhra Pradesh,2272,COMMUNITY HEALTH CENTER V MADUGULA
145,28,Andhra Pradesh,2218,COMMUNITY HEALTH CENTER VISSANNAPETA
146,28,Andhra Pradesh,2148,COMMUNITY HEALTH CENTER VINUKONDA
147,28,Andhra Pradesh,2121,COMMUNITY HEALTH CENTER VIJAYAPURI SOUTH
148,28,Andhra Pradesh,2266,COMMUNITY HEALTH CENTER VEMPALLI
149,28,Andhra Pradesh,2144,COMMUNITY HEALTH CENTER VELUGODU
150,28,Andhra Pradesh,2087,COMMUNITY HEALTH CENTER VAYALPAD
151,28,Andhra Pradesh,2265,COMMUNITY HEALTH CENTER T KOTHAPALLI
152,28,Andhra Pradesh,2217,COMMUNITY HEALTH CENTER THIRUVURU
153,28,Andhra Pradesh,2142,COMMUNITY HEALTH CENTER THAMBALLAPALLI
154,28,Andhra Pradesh,2264,COMMUNITY HEALTH CENTER TALLAREVU
155,28,Andhra Pradesh,2126,COMMUNITY HEALTH CENTER SUNNIPENTA
156,28,Andhra Pradesh,2124,COMMUNITY HEALTH CENTER SULLURPETA
157,28,Andhra Pradesh,2216,COMMUNITY HEALTH CENTER SOMPETA
158,28,Andhra Pradesh,2263,COMMUNITY HEALTH CENTER SIDHOUT
159,28,Andhra Pradesh,2269,COMMUNITY HEALTH CENTER SHAIK RAJA SAHEB
160,28,Andhra Pradesh,2089,AHDHONE
161,28,Andhra Pradesh,2086,Community Health Center Sathyavedu
162,28,Andhra Pradesh,2240,COMMUNITY HEALTH CENTER SAMALKOT
163,28,Andhra Pradesh,2262,COMMUNITY HEALTH CENTER RAZOLE
164,28,Andhra Pradesh,2239,COMMUNITY HEALTH CENTER RAILWAYKODUR
165,28,Andhra Pradesh,2140,COMMUNITY HEALTH CENTER PUTTUR
166,28,Andhra Pradesh,2090,AH GIDDALUR
167,28,Andhra Pradesh,2174,AREA HOSPITAL AGANAMPUDI
168,28,Andhra Pradesh,950000006,AREA HOSPITAL AMALAPURAM
169,28,Andhra Pradesh,2258,COMMUNITY HEALTH CENTER PORUMAMILLA
170,28,Andhra Pradesh,2223,COMMUNITY HEALTH CENTER POLAVARAM
171,28,Andhra Pradesh,2138,Community health Center P Kothakota
172,28,Andhra Pradesh,2235,COMMUNITY HEALTH CENTER PITHAPURAM
173,28,Andhra Pradesh,2261,COMMUNITY HEALTH CENTER PGANNAVARAM
174,28,Andhra Pradesh,2175,AREA HOSPITAL ANAPARTHY
175,28,Andhra Pradesh,950000016,AREA HOSPITAL ARAKU VALLEY
176,28,Andhra Pradesh,2070,COMMUNITY HEALTH CENTER PENUKONDA
177,28,Andhra Pradesh,2212,COMMUNITY HEALTH CENTER PENUGONDA
178,28,Andhra Pradesh,2092,AreaHospitalBanaganapalli
179,28,Andhra Pradesh,2260,COMMUNITY HEALTH CENTER PENDURTHI
180,28,Andhra Pradesh,950000047,AREA HOSPITAL BAPATLA
181,28,Andhra Pradesh,2273,AREA HOSPITAL BHIMAVARAM
182,28,Andhra Pradesh,2211,COMMUNITY HEALTH CENTER PEDDAPURAM
183,28,Andhra Pradesh,2113,COMMUNITY HEALTH CENTER PEDAKURAPADU
184,28,Andhra Pradesh,2076,Community Health Center Pamidi
185,28,Andhra Pradesh,2209,COMMUNITY HEALTH CENTER PALASA
186,28,Andhra Pradesh,2137,Community Health Center Owk
187,28,Andhra Pradesh,2259,COMMUNITY HEALTH CENTER NIDADAVOLU
188,28,Andhra Pradesh,2136,COMMUNITY HEALTH CENTER NARAVARIPALLI
189,28,Andhra Pradesh,2257,COMMUNITY HEALTH CENTER NAKKAPALLI
190,28,Andhra Pradesh,2106,COMMUNITY HEALTH CENTER NAIDUPETA
191,28,Andhra Pradesh,2169,COMMUNITY HEALTH CENTER NAGARAM
192,28,Andhra Pradesh,2256,COMMUNITY HEALTH CENTER MYLAVARAM
193,28,Andhra Pradesh,2255,COMMUNITY HEALTH CENTER MYDUKUR
194,28,Andhra Pradesh,2271,COMMUNITY HEALTH CENTER MUNCHANGIPUT
195,28,Andhra Pradesh,2206,COMMUNITY HEALTH CENTER MUMMIDIVARAM
196,28,Andhra Pradesh,2205,COMMUNITY HEALTH CENTER MANDAPETA
197,28,Andhra Pradesh,2150,COMMUNITY HEALTH CENTER MACHERLA
198,28,Andhra Pradesh,2254,COMMUNITY HEALTH CENTER LAKKIREDDYPALLI
199,28,Andhra Pradesh,2194,AREA HOSPITAL CHEEPURUPALLI
200,28,Andhra Pradesh,2253,COMMUNITY HEALTH CENTER KUNAVARAM
201,28,Andhra Pradesh,2233,COMMUNITY HEALTH CENTER KOTHAPETA
202,28,Andhra Pradesh,2203,COMMUNITY HEALTH CENTER KOTAURATLA
203,28,Andhra Pradesh,2202,COMMUNITY HEALTH CENTER KOTABOMMALI
204,28,Andhra Pradesh,2149,AREA HOSPITAL CHILKALURIPET
205,28,Andhra Pradesh,2176,AREA HOSPITAL CHINTALAPUDI
206,28,Andhra Pradesh,2077,Community Health Center Konakondla
207,28,Andhra Pradesh,2104,COMMUNITY HEALTH CENTER KOLLIPARA
208,28,Andhra Pradesh,2252,COMMUNITY HEALTH CENTER K KOTAPADU
209,28,Andhra Pradesh,2232,COMMUNITY HEALTH CENTER KAVITI
210,28,Andhra Pradesh,2231,COMMUNITY HEALTH CENTER KAPILSWARAPURAM
211,28,Andhra Pradesh,2249,COMMUNITY HEALTH CENTER KAMALAPURAM
212,28,Andhra Pradesh,2132,Community Health Center Kalikiri
213,28,Andhra Pradesh,2242,COMMUNITY HEALTH CENTER KAIKALURU
214,28,Andhra Pradesh,2251,COMMUNITY HEALTH CENTER KADIAM
215,28,Andhra Pradesh,2200,COMMUNITY HEALTH CENTER JAGGAYYAPETA
216,28,Andhra Pradesh,2250,COMMUNITY HEALTH CENTER JAGGAMPETA
217,28,Andhra Pradesh,2161,COMMUNITY HEALTH CENTER IPUR
218,28,Andhra Pradesh,2199,COMMUNITY HEALTH CENTER ICHAPURAM
219,28,Andhra Pradesh,2099,COMMUNITY HEALTH CENTER GURAZALA
220,28,Andhra Pradesh,2198,COMMUNITY HEALTH CENTER GUDURU
221,28,Andhra Pradesh,2177,AREA HOSPITAL CHINTAPALLI
222,28,Andhra Pradesh,2270,COMMUNITY HEALTH CENTER GOPALAPURAM
223,28,Andhra Pradesh,2069,COMMUNITY HEALTH CENTER GOOTY
224,28,Andhra Pradesh,2248,COMMUNITY HEALTH CENTER GOKAVARAM
225,28,Andhra Pradesh,2196,COMMUNITY HEALTH CENTER GANNAVARAM
226,28,Andhra Pradesh,2247,COMMUNITY HEALTH CENTER CHODAVARAM
227,28,Andhra Pradesh,950000027,AREA HOSPITAL CHIRALA
228,28,Andhra Pradesh,2067,AREA HOSPITAL DHARMAVARAM
229,28,Andhra Pradesh,2195,AREA HOSPITAL GAJAPATHINAGARAM
230,28,Andhra Pradesh,950000012,AREA HOSPITAL GUDIWADA
231,28,Andhra Pradesh,2228,COMMUNITY HEALTH CENTER CHENNUR
232,28,Andhra Pradesh,950000029,AREA HOSPITAL GUNTAKAL
233,28,Andhra Pradesh,2178,AREA HOSPITAL JAMMALAMADUGU
234,28,Andhra Pradesh,2193,COMMUNITY HEALTH CENTER CHALLAPALLI
235,28,Andhra Pradesh,2192,COMMUNITY HEALTH CENTER BUTTAIGUDEM
236,28,Andhra Pradesh,2191,COMMUNITY HEALTH CENTER BUDITHI
237,28,Andhra Pradesh,2241,COMMUNITY HEALTH CENTER BOBBILI
238,28,Andhra Pradesh,2246,COMMUNITY HEALTH CENTER BHIMADOLE
239,28,Andhra Pradesh,2189,COMMUNITY HEALTH CENTER BHEEUMINIPATNAM
240,28,Andhra Pradesh,2183,COMMUNITY HEALTH CENTER BHADRAGIRI
241,28,Andhra Pradesh,2129,Community Health Center Bethamcherla
242,28,Andhra Pradesh,950000039,AREA HOSPITAL JANGAREDDYGUDEM
243,28,Andhra Pradesh,2188,COMMUNITY HEALTH CENTER BARUVA
244,28,Andhra Pradesh,2128,Community Health center Bangarupalyam
245,28,Andhra Pradesh,2245,COMMUNITY HEALTH CENTER BADVEL
246,28,Andhra Pradesh,2186,COMMUNITY HEALTH CENTER AVANIGADDA
247,28,Andhra Pradesh,2125,COMMUNITY HEALTH CENTER ATMAKUR
248,28,Andhra Pradesh,2152,COMMUNITY HEALTH CENTER AMARAVATHI
249,28,Andhra Pradesh,2185,COMMUNITY HEALTH CENTER AMADALAVALASA
250,28,Andhra Pradesh,2170,COMMUNITY HEALTH CENTER ALLAGADDA
251,28,Andhra Pradesh,2244,COMMUNITY HEALTH CENTER ALAMURU
252,28,Andhra Pradesh,2226,COMMUNITY HEALTH CENTER AKIVIDU
253,28,Andhra Pradesh,950000030,AREA HOSPITAL KADARI
254,28,Andhra Pradesh,950000031,AREA HOSPITAL KUPPAM
255,28,Andhra Pradesh,2184,COMMUNITY HEALTH CENTER ACHANTA
256,28,Andhra Pradesh,2123,CIVIL DISPENSARY KURNOOL
257,28,Andhra Pradesh,950000032,AREA HOSPITAL NAGARI
258,28,Andhra Pradesh,2207,AREA HOSPITAL NANDIGAMA
259,28,Andhra Pradesh,2221,CIVIL DISPENSARY APVVP
260,28,Andhra Pradesh,2122,CIVIL DISPENSARY AP SECRETARIAT VELAGAPUDI
261,28,Andhra Pradesh,2179,AREA HOSPITAL NARASANNAPETA
262,28,Andhra Pradesh,2166,CHEST DISEASE HOSPITAL ANANTAPURAMU
263,28,Andhra Pradesh,2071,CHC URAVAKONDA
264,28,Andhra Pradesh,2079,CHC THANAKAL HOSPITAL
265,28,Andhra Pradesh,2118,CHC SODAM 
266,28,Andhra Pradesh,2116,CHC PODILI
267,28,Andhra Pradesh,2115,CHC Penumuru
268,28,Andhra Pradesh,2180,AREA HOSPITAL NARASAPURAM
269,28,Andhra Pradesh,950000045,AREA HOSPITAL NARASARAOPETA
270,28,Andhra Pradesh,2114,CHC PEDDA DORNALA
271,28,Andhra Pradesh,2054,GOVTERMENT MATERNITY HOSPITAL
272,28,Andhra Pradesh,2041,DISTRICT HOSPITAL MADANAPALLE
273,28,Andhra Pradesh,2210,CHC PEDAPUDI
274,28,Andhra Pradesh,2112,CHCPATTIKONDA
275,28,Andhra Pradesh,950000007,AREA HOSPITAL NARSIPATNAM
276,28,Andhra Pradesh,950000017,AREA HOSPITAL NUZVIDU
277,28,Andhra Pradesh,2171,AREA HOSPITAL PALAKOL
278,12,Arunachal Pradesh,3006,CHC ITAFORT
279,18,Assam,4008,Mangaldai Civil Hospital
280,18,Assam,4016,S K Roy Civil Hospital
281,18,Assam,1239,Mukalmua SDCH
282,18,Assam,1008,Sdch Bilasipara Diparkuti
283,18,Assam,4012,Dr Ravi Boro Civil Hospital Baksa
284,18,Assam,4002,Silchar Medical College Hospital
285,18,Assam,1098,Ch Bsf Patgaon
286,18,Assam,1782,Agchia Sc
287,18,Assam,4001,LGB Regional Institute of Mental Health
288,18,Assam,1240,Tinsukia Medical College And Hospital
289,18,Assam,1217,Composite Hospital Crpf Dayapur Silchar
290,18,Assam,1201,100 Bedded Composite Hospital
291,18,Assam,4028,"Cardiothoracic and Neurosciences Center Gauhati Medical College and Hospital,Assam"
292,18,Assam,1007,Hamren Sub Divisional Civil Hospital
293,18,Assam,1202,Fakhruddin Ali Ahmed Medical College And Hospital
294,18,Assam,91188105,AIIMS Guwahati
295,18,Assam,61800001,Pragjyotishpur Medical College And Hospital
296,18,Assam,870,Composite Hospital Ssb Salonibari
297,18,Assam,1009,"Swahid Kamalamiri Civil Hospital, Bokakhat"
298,10,Bihar,5003,"Divisional Railway Hospital, Danapur"
299,10,Bihar,5010,"Sukhdev Prasad Verma Referral Hospital Makhdampur, Jehanabad"
300,10,Bihar,5001,"Indira Gandhi Institute of Medical Sciences,Patna"
301,10,Bihar,5009,DISTRICT HOSPITAL JEHANABAD
302,10,Bihar,91100097,Joy Poly Clinic
303,10,Bihar,937,Composite Hospital Ssb
304,10,Bihar,5002,Instance five test hospital
305,10,Bihar,91100007,"AIIMS, Patna, Bihar"
306,4,Chandigarh,91040035,Command Hospital Chandimandir
307,4,Chandigarh,91040002,"PGIMER, Chandigarh"
308,4,Chandigarh,6002,CIVIL HOSPITAL 45
309,4,Chandigarh,6003,"Government Multi Specialty Hospital,Sector-16,Chandigarh"
310,4,Chandigarh,91040003,"GMC Hospital, Sector 32,Chandigarh"
311,4,Chandigarh,1110,Composite Hospital ITBP Chandigarh
312,22,Chhatisgarh,1931,Community Health Center Rajpur
313,22,Chhatisgarh,1892,Chc Bhairamgarh
314,22,Chhatisgarh,1921,Community Health Center Ramanujganj
315,22,Chhatisgarh,1917,Chc Tamanr
316,22,Chhatisgarh,367,Sant Baba Guru Ghasidas Ji Memorial Govt Hospital
317,22,Chhatisgarh,1225,District Ayurved Hospital Jagdalpur
318,22,Chhatisgarh,369,PT JNM MEDICAL COLLEGE AND ASSOCIATED DR BHIM RAO AMBEDKAR MEMORIAL HOSPITAL RAIPUR
319,22,Chhatisgarh,7007,District Hospital Raipur
320,22,Chhatisgarh,1878,Chc Gurur
321,22,Chhatisgarh,91220002,"AIIMS, Raipur, Chattisgarh"
322,22,Chhatisgarh,1961,Chc Bhanupratappur
323,22,Chhatisgarh,99900431,"KUMAR SAHAB LATE SHREE DILIP SINGH JUDEV JI GOVERNMENT SUPERSPECIALITY HOSPITAL, BILASPUR"
324,22,Chhatisgarh,1873,Govt  Hospital  Chc Bade Kilepal
325,22,Chhatisgarh,37182,Chc Kirandul
326,22,Chhatisgarh,388,Late Baliram Kashyap Memorial Govt Medical College Jagdalpur
327,22,Chhatisgarh,1951,Chc Kartala
328,22,Chhatisgarh,1871,Community Health Center Risali
329,22,Chhatisgarh,1923,Civil Hospital Wadrafnagar
330,22,Chhatisgarh,1995,Chc Saraipali
331,22,Chhatisgarh,1858,Chc Nawagarh
332,22,Chhatisgarh,1814,Chc Bhaiyathan
333,22,Chhatisgarh,7005,District Hospital Dantewada
334,22,Chhatisgarh,99900530,Phc Junwanikhurd
335,22,Chhatisgarh,1981,Civil Hospital Deobhog
336,22,Chhatisgarh,7013,Lt. Bisahu Das Mahant Memorial Medical College Associated Indira Gandhi Hospital Korba
337,22,Chhatisgarh,99900474,Phc Birkoni
338,22,Chhatisgarh,379,CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES BILASPUR (C. G.)
339,22,Chhatisgarh,1236,Composite Hospital CRPF Raipur
340,22,Chhatisgarh,1889,Chc Thankhamhariya
341,22,Chhatisgarh,1819,Chc Ramanujnagar
342,22,Chhatisgarh,1973,Chc Darima
343,22,Chhatisgarh,1978,Chc Akaltara
344,22,Chhatisgarh,7017,Barrister Thakur Chhedilal
345,22,Chhatisgarh,1957,Chc Pandariya
346,22,Chhatisgarh,1943,Chc Bamnidih
347,22,Chhatisgarh,1948,Chc Arjunda
348,22,Chhatisgarh,99900572,Phc Khamhariya
349,22,Chhatisgarh,1916,Chc Dabhara
350,22,Chhatisgarh,1815,Chc Odgi
351,22,Chhatisgarh,1982,Chc Malkharoda
352,22,Chhatisgarh,1969,Chc Lawan
353,22,Chhatisgarh,1863,Chc Lormi
354,22,Chhatisgarh,1986,Chc Lakhanpur
355,22,Chhatisgarh,1869,Chc Jheet
356,22,Chhatisgarh,1897,Community Health Center Geedam
357,22,Chhatisgarh,1949,Rani Dhanraj Devi Kunwar Phc Korba
358,22,Chhatisgarh,1221,COMPOSITE HOSPITAL CRPF JAGDALPUR
359,22,Chhatisgarh,1222,Government Ayurved Hospital Dallirajhara
360,22,Chhatisgarh,37179,Chc Gobranawapara
361,22,Chhatisgarh,1919,Chc Bagicha
362,22,Chhatisgarh,2006,Chc Bilaigarh
363,22,Chhatisgarh,1942,Chc Chhuikhadan
364,22,Chhatisgarh,37224,Community Health Center Chhotedongar
365,22,Chhatisgarh,1864,Chc Dondi
366,22,Chhatisgarh,99900529,Phc Tendukona
367,22,Chhatisgarh,489,District Hospital Gaurella Pendra Marwahi
368,22,Chhatisgarh,1945,Chc Marwahi
369,22,Chhatisgarh,37181,Chc Awapalli
370,22,Chhatisgarh,37193,Chc Basaguda
371,22,Chhatisgarh,99900049,CHC Sanna
372,22,Chhatisgarh,1912,Chcjaijaipur
373,22,Chhatisgarh,1908,Civil Hospital Nagri
374,22,Chhatisgarh,1915,Chc Duldula
375,22,Chhatisgarh,1941,District Hospital Sarangarh
376,22,Chhatisgarh,99900582,Phc Mungaser
377,22,Chhatisgarh,1954,Chc Katghora
378,22,Chhatisgarh,1959,Chc Charama
